Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VALV12017X,REMERA VALVOLINE GRIS ACERO X.,RETAIL SHOP,VALVOLINE,A,0,"101447,9",0,0,195000,195000
VALV12018D,PULOVER CUELLO REDONDO VALVOLINE D.,RETAIL SHOP,VALVOLINE,A,1,"87529,05",140000,0,210000,210000
VALV12018L,PULOVER CUELLO REDONDO VALVOLINE L.,RETAIL SHOP,VALVOLINE,A,1,"74145,3",96400,0,210000,210000
VALV12018M,PULOVER CUELLO REDONDO VALVOLINE M.,RETAIL SHOP,VALVOLINE,A,1,"74145,3",140000,0,210000,210000
VALV12018X,PULOVER CUELLO REDONDO VALVOLINE X.,RETAIL SHOP,VALVOLINE,A,1,"74145,3",140000,0,210000,210000
VALV12027,BOLSITOS TURQUESA EN TNT VALVOLINE,RETAIL SHOP,VALVOLINE,A,8,"6736,933",8421,0,14000,14000
VALV12028,BOLSO PORTA  ALMUERZO VALVOLINE,RETAIL SHOP,VALVOLINE,A,0,"43121,1",53901,0,90000,90000
VALV12032,VASO VALVOLINE NARANJA,RETAIL SHOP,VALVOLINE,A,14,"37206,5",0,0,69000,69000
VALV12040,LLAVEROS PLATEADOS VALVLOLINE,RETAIL SHOP,VALVOLINE,A,16,"4588,676",5736,0,16000,16000
VALV12041,AGENDITA CON SEPARADORES VALVOLINE,RETAIL SHOP,VALVOLINE,A,22,"7744,311",9680,0,15000,15000
VALV12044,HERRAMIENTA MULTIPLE VALVOLINE,RETAIL SHOP,VALVOLINE,A,10,"21146,15",0,0,37000,37000
VALV12047,ENVASE TERMICO VALVOLINE,RETAIL SHOP,VALVOLINE,A,0,"39035,583",48794,0,65000,65000
VALV12050,KEPIS VALVOLINE VERDE,RETAIL SHOP,VALVOLINE,A,2,"31142,673",38928,0,60000,60000
VALV12053,KEPIS VALVOLINE GRIS,RETAIL SHOP,VALVOLINE,A,9,"34450,444",43063,0,60000,60000
VALV12054,KEPIS VALVOLINE AZUL,RETAIL SHOP,VALVOLINE,A,13,"35100,472",43876,0,60000,60000
VALV12059,VASO SET DE REGALOS VALOLINE,RETAIL SHOP,VALVOLINE,A,3,"74680,7",0,0,130000,130000
VALV12060,RELOJ DE PARED VALVOLINE RACING,RETAIL SHOP,VALVOLINE,A,1,"68791,9",0,0,126000,126000
VALV13005D,CAMPERA VALVOLINE AZUL MARINO D.,RETAIL SHOP,VALVOLINE,A,0,187371,0,0,0,0
VALV13014L,PULOVER CEPORTIVO VALVOLINE C.REDOND L.,RETAIL SHOP,VALVOLINE,A,2,"154982,5",200000,0,255000,255000
