Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
MKT 54,PA�OLETA IMPRESA RALLY 2011,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 35,BOLSON FUTBOLERO PARA CLIENTES,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 45,BOLSON FUTBOLERO PARA FUNCIONARIOS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 55,CAMISETA DE FUTBOL,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 65,TERMO TERERE C.IUV,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 36,KIT DE DAMA PARA FUNCIONARIOS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 46,REMERA VALVOLINE BLANCO RACING (10 A�OS),MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 56,KIT FEMENINO PARA CLIENTES,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 37,REMERA VALVOLINE AZUL MARINO,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 47,REMERA VALVOLINE BLANCO RACING (P-XG),MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 38,"EXHIBIDOR TOYO DE METAL 1,16x0,90 MTS CON MANGO Y RUEDA",MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 48,REMERA VALVOLINE BLANCO RACING (XXG-XXXG),MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 49,REMERA BLANCA SUPORTE REI EVENTO,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 59,EXHIBIDOR HELIER DE METAL,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V4005L,MKT REMERA POLO AZUL DAMA TL,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V7037D,MKT REMERA AZUL XL VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V7037L,MKT REMERA AZUL L VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V7037M,MKT REMERA AZUL M VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V4097L,MKT REMERA POLO ROSA DAMA TL,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V4097M,MKT REMERA POLO ROSA DAMA TM,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 100,WORKERS CLOTHERS PLATIN,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 101,HAND TERMINAL,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 102,BROCHURE PLATIN,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 103,POSTER PLATIN,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 105,SIGN BOARD PLATIN,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 106,CATALOGUE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 136,CINTO TRENSADO DE CUERO,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 159,ACCIONES PROMOCIONALES,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 119,HOPPIES,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
@VALVOLINE REMERA,REMERA ABRIGADA VALVOLINE MANGAS CORTA,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
@REMERA VALVOLINE L,REMERA ABRIGADA VALVOLINE MANGAS LARGA,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 248,REPOSERAS CON RESPALDERO GARRET,MARKETING,MOTOR,GARRET,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 193,TERMO DE TERERE C/ GUAMPA - MAR,MARKETING,PROMOCION,MAR,Sin Color,VARIOS,TERMOS BORDADOS,0,0
MKT 194,GUAMPA C/ BOMBILLA - SABO,MARKETING,PROMOCION,SABO,Sin Color,VARIOS,GUAMPAS C/ BOMBILLAS,0,0
MKT 176,KEPIS AZULES WABCO,MARKETING,MERCHANDISING,WABCO,Sin Color,VARIOS,KEPIS,0,0
MKT 192,PELOTAS DE MICROFIBRA NAKATA,MARKETING,PROMOCION,NAKATA,Sin Color,VARIOS,PELOTAS,0,0
MKT 216,KEPI TECFIL,MARKETING,MERCHANDISING,TECFIL,Sin Color,VARIOS,KEPIS,0,0
MKT 195,REMERA AZUL LEMFORDER T.L,MARKETING,MERCHANDISING,LEMFORDER,Sin Color,VARIOS,REMERAS,0,0
@CHALECO POLAR,CHALECO POLAR VALVOLINE,MARKETING,Sin Grupo,POLO,Sin Color,VARIOS,Sin linea,0,0
MKT 184,BASURERO ECOL�GICO VALVOLINE,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,BASUREROS ECOL�GICOS,0,0
MKT 205,LENTE VALVOLINE,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,LENTES,0,0
MKT 245,CALCOMANIAS VALVOLINE,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 269,REMERA BLANCA VALVOLINE T.G,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 268,REMERA BLANCA VALVOLINE T.M,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 267,REMERA BLANCA VALVOLINE T.P,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 270,REMERA BLANCA VALVOLINE T. XG,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 271,REMERA BLANCA VALVOLINE T. XXG,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 191,TICKETS DE MANTENIMIENTO  VALVOLINE- JB,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,TICKETS DE MANTENIMIENTO,0,0
MKT 190,IMANES VALVOLINE,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,IMANES,0,0
MKT 183,FRANELAS NARANJA,MARKETING,MERCHANDISING,VALVOLINE,Sin Color,VARIOS,FRANELAS,0,0
MKT 225,REMERA CUELLO V NEGRA VALVOLINE HOMBRES TALLE M,MARKETING,PUBLICIDAD,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 229,REMERA CUELLO POLO NEGRA VALVOLINE HOMBRE TALLE L,MARKETING,PUBLICIDAD,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 228,REMERA CUELLO POLO NEGRA VALVOLINE HOMBRES TALLE XL,MARKETING,PUBLICIDAD,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 244,TICKETS DE MANTENIMIENTO VALVOLINE,MARKETING,PUBLICIDAD,VALVOLINE,Sin Color,VARIOS,TICKETS DE MANTENIMIENTO,0,0
