Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,APLICACION,MODELO,GRUPO,LINEA,PESO,VOLUMEN
VAL 01VE841,VALVOLINE HP GEAR OIL GL4 SAE 90 BALDE 19 LTS ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL 01VE128,VALVOLINE VALVO HD 68 X 19 LTS ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL 01VE851,VALVOLINE HP GEAR OIL SAE 140 19 LTS ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL 01VA364,VALVOLINE 15W40 200 LT.FLEET CLASSIC ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,PESADA,0,200
VAL 01VE835,VALVOLINE HP GEAR OIL 80W90 X 205 LT ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,PESADA,0,205
VAL 01VE354,VALVOLINE TURBO DIESEL SAE 40 X 200 LT ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,PESADA,0,200
VAL VX130 FRAC,VALVOLINE CONVENTIONAL 20W50 208L TB,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,CONSTRUCTORA,0,208
VAL VV319,VALVOLINE TRANSMISION SAE 10 TO-4 208L,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VV327,VALVOLINE TRANSMISION TO-4 SAE 50 208L,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VX348,VALVOLINE FLUIDO ATF DEXRON III 208 LTB,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VV382,VALVOLINE ALL FLEET 10W30 TB 208L CJ4/SM,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VX810,VALVOLINE HIDRAULICO UNITRAC 10W30 TB 208,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VX385,VALVOLINE ALL FLEET 15W40 208L.TB,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL 591838,VALVOLINE PREMIUN BLUE CLASSIC 15W40 208L TB,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VX403,VALVOLINE 15W40 208L. ALL FLEET EXTRA AMERICANO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VX390,VALVOLINE ALL FLEET SAE 10 208L.,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VX398,VALVOLINE ALL FLEET SAE 40 TB,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VX401,VALVOLINE ALL FLEET SAE 50 208L TB,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VX044,VALVOLINE HIDRAULICO ISO 68 TB 208,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL VX826,VALVOLINE HP GEAR OIL 85W140 208L TB GL-5,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL 744397,VALVOLINE ALL FLEET PLUS 25W60 MEXICANO TAMBOR 208 LT,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,208
VAL 01VE364,VALVOLINE 15W40 TURBO FLEET CLASSIC 200 LTS ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,200
VAL 01VE130,VALVOLINE MOTOR OIL API SL 20W50 200 LTS ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,200
VAL 01VA404,VALVOLINE ALL FLEET MAX V 25W60 ARGENTINO 200LTS.,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,200
VAL 01VE836,VALVOLINE 80W90 HP GEAR OIL 200 LTS ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,200
VAL 01VE840,VALVOLINE HP GEAR OIL GL1 SAE 90 200 LTS ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,200
VAL 01VA850,VALVOLINE HP GEAR OIL GL1 SAE 140 200 LTS ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TAMBOR,Sin linea,0,200
VAL VV606,VALVOLINE GRASA  MULTILUBE LITHIUM 16kg,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TUBO,Sin linea,0,0
VAL VV-608,"GRASA VALVILINE MULTILUBE LITHIUM 0,450kg",LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TUBO,Sin linea,0,0
VAL VV609,"VALVOLINE GENERAL MULTIPURPOSE GREASE 0,396K",LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TUBO,Sin linea,0,0
VAL VV616,VALVOLINE GRASA VAL PLEX EP LITHIUM 1.800 kgs,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TUBO,Sin linea,0,0
VAL VV608,"VALVOLINE GRASA  MULTILUBE LITHIUM 0,450kg x12",LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TUBO,Sin linea,0,0
VAL VV633,"VALVOLINE MOLY FORT. MULTIPURPOSE GREASE 0,396K",LUBRICANTES,VALVOLINE,Sin Color,VARIOS,TUBO,Sin linea,0,0
VAL VV346,VALVOLINE FLUIDO ATF+4 #822348#,LUBRICANTES,VALVOLINE,CAJA,VARIOS,ANVASE,LIVIANA,0,"0,946"
VAL VV353,VALVOLINE FLUIDO ATF DEXRON III 1Lx12 UNID #798153#,LUBRICANTES,VALVOLINE,CAJA,VARIOS,ANVASE,CONSTRUCTORA,0,"0,946"
