Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
YHAGUY BATERIAS S.A.,7.237,Compras  CREDITO,17/4/2017,17/4/2017,15127855,15127855,58348
YHAGUY BATERIAS S.A.,7.161,Compras  CREDITO,19/4/2017,19/4/2017,5123044,5123044,58348
YHAGUY BATERIAS S.A.,7.332,Compras  CREDITO,19/4/2017,19/4/2017,1285945,1285945,58348
YHAGUY BATERIAS S.A.,7.381,Compras  CREDITO,20/4/2017,20/4/2017,459662,459662,58348
YHAGUY BATERIAS S.A.,7.400,Compras  CREDITO,21/4/2017,21/4/2017,379364,379364,58348
YHAGUY BATERIAS S.A.,7.403,Compras  CREDITO,21/4/2017,21/4/2017,910306,910306,58348
YHAGUY BATERIAS S.A.,7.424,Compras  CREDITO,21/4/2017,21/4/2017,2908455,2908455,58348
YHAGUY BATERIAS S.A.,7.455,Compras  CREDITO,22/4/2017,22/4/2017,1517455,1517455,58348
YHAGUY BATERIAS S.A.,7.563,Compras  CREDITO,25/4/2017,25/4/2017,12324380,12324380,58348
YHAGUY BATERIAS S.A.,7.608,Compras  CREDITO,26/4/2017,26/4/2017,4256655,4256655,58348
YHAGUY BATERIAS S.A.,7.644,Compras  CREDITO,27/4/2017,27/4/2017,2784918,2784918,58348
YHAGUY BATERIAS S.A.,7.638,Compras  CREDITO,27/4/2017,27/4/2017,21067794,21067794,58348
YHAGUY BATERIAS S.A.,7.657,Compras  CREDITO,27/4/2017,27/4/2017,280145,280145,58348
YHAGUY BATERIAS S.A.,7.658,Compras  CREDITO,27/4/2017,27/4/2017,348236,348236,58348
YHAGUY BATERIAS S.A.,7.662,Compras  CREDITO,28/4/2017,28/4/2017,50000,50000,58348
YHAGUY BATERIAS S.A.,7.746,Compras  CREDITO,2/5/2017,2/5/2017,379364,379364,58348
YHAGUY BATERIAS S.A.,7.718,Compras  CREDITO,2/5/2017,2/5/2017,2820000,2820000,58348
YHAGUY BATERIAS S.A.,7.792,Compras  CREDITO,4/5/2017,4/5/2017,8268182,8268182,58348
YHAGUY BATERIAS S.A.,7.803,Compras  CREDITO,4/5/2017,4/5/2017,4173000,4173000,58348
YHAGUY BATERIAS S.A.,7.846,Compras  CREDITO,5/5/2017,5/5/2017,7528909,7528909,58348
