Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
MB-55,0,-40
FAL 06305,0,-3
ZF 0730.300.093,0,-6
CIP 157287,0,-13
SC-1074,23,0
MB-4080,98,0
SC-1994,0,-15
SC-1081,0,-3
SC-1993,16,0
SC-774,0,-1
SC-1238,1,0
CIP 287448,0,-1
SC-1782,28,0
FAL 45117,7,0
SC-1024,0,-2
CR-008,3,0
MB-10,0,-36
SC-1895,0,-118
SC-1894,0,-7
MB-11,0,-22
SC-1872,0,-1
MB-130,0,-323
ZM 1600703,0,-1
RODA A203,0,-11
IAS 61.45.6027,2,0
ZM 1600701,2,0
RODA A205,0,-5
RODA A207,0,-13
MP 9304,0,-1
MP-153,0,-2
MB-103,1,0
MP 9302,1,0
MP-9309,0,-1
MP-9310,3,0
MP-9308,0,-2
TIP PH-536,1,0
SC-577,0,-4
SC-3022,0,-8
MB-1961,0,-2
MB-39,0,-2
ALK 1/2,0,-4
FAL 10729,10,0
RODA A202,0,-29
ZM 1600602,0,-23
IAS 61.45.5022,0,-1
RODA A204,12,0
ZM 1600601,21,0
MB-35,11,0
MB-36,58,0
RODA A277,0,-66
FAL 05268,1,0
RODA A286,1,0
MB-34,29,0
MB-2640,0,-1
MB-30,0,-1
MB-113,0,-29
BOE 0910,22,0
SC-2280,0,-11
FAL 30101,6,0
MB-13,60,0
MB-14,0,-118
MB-15,0,-152
ROC 010224-5,495,0
MB-16,20,0
MB-17,108,0
MB-18,21,0
MB-4559,0,-37
FAL 07775,37,0
ROC 010281-4,1,0
PRIO 3273321662,0,-12
MB-38,0,-3
FAL 05017,1,0
MB-2440,0,-6
FAL 31152,0,-2
SC-2245,0,-4
SC-769,0,-14
FAL 45008,0,-7
SC-1973,0,-10
SC-3919,0,-19
CIP 1670497,1,0
SC-1242,0,-9
SC-1198,5,0
CIP 273023,0,-1
SC-1202,0,-1
FAL 30184,0,-1
CIP 287449,0,-11
FAL 30208,5,0
REI R-877,6,0
SC 1385170,1,0
PRIO 1385170,0,-52
CIP 165286,0,-5
CIP 1423610,0,-1
MB-20,0,-19
ZF 0730.002.906,0,-1
RYG 3520504901,1,0
SUS CO-614,0,-1
FAL 33913,0,-1
PRIO 1336357,6,0
CIP 1336357,0,-6
"MAH A48020 0,25",0,-1
MAH A45020,0,-14
MAH A68010,0,-4
MAH A45020 050,0,-3
COF NN.6307.010,0,-1
COF NA.6587 010,2,0
NA.7547.010,0,-3
COF NN.6308.020,3,0
COF NO.6407.025,1,0
COF NN.6408 025,1,0
"COF NN.6306 0,25",0,-1
COF NA.6587 030,0,-1
COF NN.6408.050,1,0
KS 50.010.040,1,0
"MAH A48040 0,50",0,-1
"MAH A48000 0,50",0,-1
MAH A48040 STD,0,-2
MAH A48000 STD,2,0
MAH A48015 STD,2,0
MAH A68010 0.20,1,0
MAH A68150 STD,0,-2
MAH A68150 010,0,-1
KNO II39529F0062,2,0
MAH A94050 STD,12,0
COF NN.6408 STD,0,-2
MAH A45020 STD,15,0
MAH A48020 STD,0,-1
BEP M156V,2,0
AMA 1118 E,0,-1
KS 800.019.122.050,0,-4
KS 50.011.573,90,0
KS 800.019.122.000,0,-6
"COF LC.7173 0,50",6,0
KS 50.011.992,6,0
KS 50.011.478,4,0
SM 793913,3,0
MAH A48101 050,3,0
MAH A48410 STD,2,0
MAH A48525 STD,0,-14
MAH A48515 STD,0,-16
MAH A48100 STD,0,-12
MAH A48101 STD,0,-22
MAH A48565 STD,5,0
MAH A48930 STD,0,-12
MAH A48940 STD,0,-2
KS 800.024.813.000,0,-5
COF DC.6978 STD,2,0
KS 50.010.488,2,0
KS 50.011.241,23,0
MAH A76060 STD,0,-2
MAH A76950 STD,0,-1
MAH A76020 STD,1,0
MAH A76990 STD,12,0
MAH A76650 STD,0,-14
