Operacion Ajuste Stock,OPE-AJU,Tipos de Operaciones en los Movimientos
Cliente,EMP-CLI,Tipos de Empresa
Venta Externa,MOD-VTA-EXT,Modos de Venta
Proveedor,EMP-PRV,Tipos de Empresa
Funcionario,EMP-FUN,Tipos de Empresa
Yhaguy Repuestos S.A.,EMP-YHA,Tipos de Empresa
Banco,EMP-BAN,Tipos de Empresa
Mayor,ESTA-MAYOR,Estado de las reglas
Menor,ESTA-MENOR,Estado de las reglas
Igual,ESTA-IGUAL,Estado de las reglas
Diferente,ESTA-DIFER,Estado de las reglas
Ninguno,ESTA-NING,Estado de las reglas
Itau - Visa,Visa,Tarjeta
Itau - Mastercard,Mastercard,Tarjeta
Itau - American Express,American Express,Tarjeta
Continental - Visa,Visa,Tarjeta
Continental - Mastercard,Mastercard,Tarjeta
Continental - American Express,American Express,Tarjeta
Otros - Visa,Visa,Tarjeta
Otros - Mastercard,Mastercard,Tarjeta
Otros - American Express,American Express,Tarjeta
Procard,TAR-PRC-PRO,Procesadoras de Tarjetas
Panal,TAR-PRC-PAN,Procesadoras de Tarjetas
Bancard,TAR-PRC-BAN,Procesadoras de Tarjetas
Cabal,TAR-PRC-CAB,Procesadoras de Tarjetas
Conciliado,EST-CON-CON,Estados de Conciliacion
Pendiente,EST-CON-PEN,Estados de Conciliacion
Diferencia,EST-CON-DIF,Estados de Conciliacion
Auxiliar Administrativo,FUN-CRG-AUX-ADM,Funcionario Cargo
Gerente RR. HH.,FUN-CRG-GTE-RH,Funcionario Cargo
Jefe Ventas Mostrador,FUN-CRG-JEF-VTA-MOS,Funcionario Cargo
Soporte Técnico,FUN-CRG-SOP-TEC,Funcionario Cargo
Vendedor Mostrador,FUN-CRG-VTA-MOS,Funcionario Cargo
Gerente Administrativo,FUN-CRG-GTE-ADM,Funcionario Cargo
Encargado/a Compras,FUN-CRG-ENC-COM,Funcionario Cargo
Encargado/a Depósito,FUN-CRG-ENC-DEP,Funcionario Cargo
Vendedor/a Externo,FUN-CRG-VTA-EXT,Funcionario Cargo
Activo,FUN-EST-ACT,Estados de Funcionarios
Inactivo,FUN-EST-INA,Estados de Funcionarios
Descuento,NCR-MOT-DES,Motivos de Notas de Créditos
Devolución,NCR-MOT-DEV,Motivos de Notas de Créditos
Diferencia de Precio,NCR-MOT-DIF-PRE,Motivos de Notas de Créditos
Item Factura,NCR-DET-FAC,Tipo de Detalle de Notas de Credito
Item Articulo,NCR-DET-ART,Tipo de Detalle de Notas de Credito
Pendiente,EST-CBT-PEN,Estados de Comprobantes
Aprobado,EST-CBT-APR,Estados de Comprobantes
Cerrado,EST-CBT-CER,Estados de Comprobantes
Anulado,EST-CBT-ANU,Estados de Comprobantes
Confeccionado,EST-CBT-CON,Estados de Comprobantes
Activo,CTA-CBL-ACT,Tipos de Cuentas Contables
Pasivo,CTA-CBL-PAS,Tipos de Cuentas Contables
Patrimonio Neto,CTA-CBL-PAT-NET,Tipos de Cuentas Contables
Ingreso,CTA-CBL-ING,Tipos de Cuentas Contables
Egreso,CTA-CBL-EGR,Tipos de Cuentas Contables
Factura Contado,DOC-FAC-CON,Tipo de Documento
Factura Credito,DOC-FAC-CRE,Tipo de Documento
Nota de Credito,DOC-NOT-CRE,Tipo de Documento
Nota de Debito,DOC-NOT-DEB,Tipo de Documento
Recibo de Dinero,DOC-REC-DIN,Tipo de Documento
Autofactura,DOC-AUT-FAC,Tipo de Documento
Pagare,DOC-PAGARE,Tipo de Documento
Nota de Remision,DOC-NOTA-REMISION,Tipo de Documento
Otros,DOC-OTROS,Tipo de Documento
Reserva Interna,RES-INT,Tipos de Reserva
Reserva por Reparto,RES-REP,Tipos de Reserva
Reserva por Venta,RES-VTA,Tipos de Reserva
Reserva por boleta devolucion,RES-DEV,Tipos de Reserva
Reserva Activa,EST-RES-ACT,Estados de Reserva
Reserva Cancelada,EST-RES-CAN,Estados de Reserva
Reserva Finalizada,EST-RES-FIN,Estados de Reserva
Devolucion al dia siguiente,MOT-DEV-SIG,Motivos de Devolucion
Devolucion entrega parcial,MOT-DEV-PAR,Motivos de Devolucion
Devolucion estado defectuoso,MOT-DEV-DEF,Motivos de Devolucion
SI,SI / NO,SI / NO
NO,SI / NO,SI / NO
Efectivo,BAN-DEP-EFE,Tipo de Banco Deposito
Cheques del banco,BAN-DEP-CPRO,Tipo de Banco Deposito
Cheques de otros bancos,BAN-DEP-COTR,Tipo de Banco Deposito
Todos,BAN-DEP-TOD,Tipo de Banco Deposito
Automatico,CH-AUT,Modo de creación
Manual,CH-MAN,Modo de creación
Lloyds TSB,BCO-TER-TSB,Bancos para Cheques de Tercero
Integración,BCO-TER-INTE,Bancos para Cheques de Tercero
Continental,BCO-TER-CONTI,Bancos para Cheques de Tercero
Atlas,BCO-TER-ATLAS,Bancos para Cheques de Tercero
Regional,BCO-TER-REGIO,Bancos para Cheques de Tercero
Sudameris,BCO-TER-SUDA,Bancos para Cheques de Tercero
ABN-AMRO,BCO-TER-ABN,Bancos para Cheques de Tercero
HSBC,BCO-TER-HSBC,Bancos para Cheques de Tercero
BBVA,BCO-TER-BBVA,Bancos para Cheques de Tercero
Itau,BCO-TER-ITAU,Bancos para Cheques de Tercero
Citibank,BCO-TER-CITI,Bancos para Cheques de Tercero
Bancop,BCO-TER-BCOP,Bancos para Cheques de Tercero
GNB,BCO-TER-GNB,Bancos para Cheques de Tercero
Do Brasil,BCO-TER-DBRA,Bancos para Cheques de Tercero
Banco Tarjeta Extracto,BAN-TAR-DET-TARJ,Tipo de Detalle Banco Tarjeta Extracto
Acreditacion - Banco Movimiento,BAN-TAR-DET-BANM,Tipo de Detalle Banco Tarjeta Extracto
Activo,EST-CLI,Estado Cliente
Inactivo,EST-CLI,Estado Cliente
Temporal,EST-CLI,Estado Cliente
No definida,CAT-CLI,Categoria Cliente
Al dia,CAT-CLI,Categoria Cliente
Incobrable,CAT-CLI,Categoria Cliente
Judiciales,CAT-CLI,Categoria Cliente
Chapista,PROFE,Profesiones
Mecanico,PROFE,Profesiones
Electricista,PROFE,Profesiones
