Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
PLA PD66L,BATERIA PLATIN PREMIUM DIM 66LAMP,BATERIAS,Sin Grupo,PLATIN,Sin Color,VARIOS,Sin linea,0,0
PLA P66,BATERIA PLATIN PRESTIGE 66AMP,BATERIAS,Sin Grupo,PLATIN,Sin Color,VARIOS,Sin linea,0,0
PLA PD66,BATERIA PLATIN PREMIUM DIM 66AMP,BATERIAS,Sin Grupo,PLATIN,Sin Color,VARIOS,Sin linea,0,0
PLA CJ35L,BATERIAS PLATIN PREMIUN JIS 35AMP,BATERIAS,Sin Grupo,PLATIN,Sin Color,VARIOS,Sin linea,0,0
PLA CJ35,BATERIA PLATIN PREMIUN JIS 35AMP,BATERIAS,Sin Grupo,PLATIN,Sin Color,VARIOS,Sin linea,0,0
PLA PJ45L,BATERIA PLATIN PREMIUN JIS 45AMP,BATERIAS,Sin Grupo,PLATIN,Sin Color,VARIOS,Sin linea,0,0
PLA CD55L,BATERIA PLATIN CLASSIC DIN 55AMP,BATERIAS,Sin Grupo,PLATIN,Sin Color,VARIOS,Sin linea,0,0
PLA CD55,BATERIA PLATIN CLASSIC DIN 55AMP,BATERIAS,Sin Grupo,PLATIN,Sin Color,VARIOS,Sin linea,0,0
PLA PJ36L,BATERIA PLATIN PREMIUN JIS 36 AMP,BATERIAS,Sin Grupo,PLATIN,Sin Color,VARIOS,Sin linea,0,0
HEL F70NE,BATERIA HELIAR FREE 70AH LA28.1-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,OTROS,0,0
HEL F45BD,BATERIA HELIAR FREE 45AH LA21-AN17.5-AL17.5  CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F45BE,BATERIA HELIAR FREE 45AH LA21-AN17.5-AL17.5  CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL T60DD,"BATERIA HELIAR PROF 60AH LA-24,4 AN-17,5 AL-17,5 CM",BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
