Empresa,Yhaguy,
,,
ID,BARCODE
7199,7894166028663
3718,7894166027291
3714,7894166027185
14158,7894166026164
7247,7894166026119
699,7894166025990
9525,7894166025952
9526,7894166025570
6056,7894166025525
6057,7894166025464
2556,7894166025457
6059,7894166025440
7233,7894166025365
7239,7894166025341
11608,7894166025334
7221,7894166025310
7236,7894166025303
3491,7894166025181
7243,7894166025068
13923,7894166025013
13922,7894166025006
2091,7894166024993
7196,7894166024962
7220,7894166024894
3487,7894166024856
6060,7894166024801
6055,7894166024795
6053,7894166024771
6054,7894166024764
6058,7894166024757
9517,7894166024580
2791,7894166024573
7231,7894166024061
7230,7894166024047
7222,7894166023958
7228,7894166023934
8121,7894166023910
7229,7894166023880
14156,7894166023828
7241,7894166023811
7240,7894166023804
7223,7894166023729
7197,7894166023606
13228,7894166023378
13227,7894166023361
13696,7894166023231
5339,7894166023217
14155,7894166023095
16711,7894166023064
3022,7894166023057
14389,7894166022944
13925,7894166022920
12761,7894166022890
13924,7894166022883
13695,7894166022876
13694,7894166022869
14390,7894166022852
7212,7894166022692
14391,7894166022647
7205,7894166022593
14154,7894166022548
7206,7894166022524
7203,7894166022395
6048,7894166022258
6063,7894166022203
5338,7894166021930
7208,7894166021817
3482,7894166021787
6049,7894166021749
7202,7894166021534
7244,7894166021442
7193,7894166021398
8821,7894166021268
6047,7894166021251
4886,7894166021220
4887,7894166021213
8819,7894166021206
7245,7894166021183
4885,7894166021169
7242,7894166020902
6062,7894166020872
4884,7894166020865
2554,7894166020841
7194,7894166020810
2553,7894166020742
13463,7894166020551
7204,7894166020490
7200,7894166020476
7209,7894166020452
16710,7894166020360
7213,7894166020353
8354,7894166020148
5341,7894166020131
5342,7894166020124
5340,7894166020117
7219,7894166020100
6044,7894166019555
4179,7894166019524
4180,7894166019494
6052,7894166019432
6050,7894166019425
6042,7894166019401
6045,7894166019395
6051,7894166019388
6046,7894166019371
9049,7894166019333
9514,7894166019289
5803,7894166019272
4875,7894166019258
5802,7894166019234
3018,7894166019197
6041,7894166019173
3483,7894166019166
6040,7894166019128
3485,7894166019111
6043,7894166019098
6731,7894166019081
6036,7894166019074
6035,7894166019067
9513,7894166019036
6038,7894166019029
9746,7894166019012
6033,7894166019005
6039,7894166018992
6037,7894166018985
6034,7894166018978
3713,7894166018961
5804,7894166018947
5805,7894166018930
12997,7894166018916
12993,7894166018909
12996,7894166018886
14153,7894166018848
14388,7894166018824
7210,7894166018763
6730,7894166018756
14618,7894166018725
1,7894166018671
8586,7894166018596
3252,7894166018589
14859,7894166018572
3251,7894166018503
8585,7894166018480
12297,7894166018404
13693,7894166018398
9281,7894166018367
7214,7894166018336
