Empresa,Yhaguy,
,,
CODIGOINTERNO,LISTA,
ARB NU-212,162700,
ARB NU-309,116700,
ARB NUP-310,272800,
ARB QJ-309,136700,
ARB T2ED 070,424200,
ARC 124,26700,
ARC 1318388,32500,
ARC 1409889,86100,
ARC 1409890,29200,
ARC 33352,15100,
ARC 5036,0,
ARC 5113 BRAG,25000,
ARC 5116,0,
ARC 5137,25000,
ARC 5147,0,
ARC 5154,25000,
ARC 5154 BRAGF,24200,
ARC 516B,19200,
ARC 5208,100000,
ARC 5234 BRG,19000,
ARC 5299,0,
ARC 5344,0,
ARC 5410,13400,
ARC 5674,0,
ARC 5783 BR,3100,
ARC 5840,31700,
ARCA 5839-BY,53400,
ARD 374330,239200,
ARG MB-102,968000,
ARG SC-103,2153400,
ARI 382,0,
ARL 32,144000,
ART 1844,241700,
ART 1845,241700,
ARY 1103386,370000,
ARY 1109586,454800,
ARY 1109588,527900,
ARY 1109590,730900,
ARY 1111899,612400,
ARY 1114314,51600,
ARY 1116457,316800,
ARY 1116461,544200,
ARY 1116467,1543100,
ARY 1116469,446700,
ARY 1116473,365500,
ARY 1116475,195000,
ARY 1121658,406100,
ARY 1300061,333000,
ARY 1304850,503600,
ARY 1305455,771600,
ARY 1322291,479200,
ARY 1322292,511700,
ARY 1322293,438600,
ARY 1325344,1445600,
ARY 1367796,471100,
ARY 1377308,820300,
ARY 1387295,1664900,
ARY 1393876,820300,
ARY 1394865,649700,
ARY 1401622,36600,
ARY 1408478,1478100,
ARY 1459309,270700,
ARY 194331,487300,
ARY 194484,28500,
ARY 224086,146200,
ARY 234184,48800,
ARY 234768,251800,
ARY 234890,154400,
ARY 234909,324900,
ARY 234910,406100,
ARY 234911,438600,
ARY 244536,146200,
ARY 254333,121900,
ARY 264120,35500,
ARY 274521,438600,
ARY 284804,365500,
ARY 284809,454800,
ARY 294903,592900,
ARY 315085,22600,
ARY 317960,1177600,
ARY 324139,527900,
ARY 325252,381700,
ARY 332118,211200,
ARY 341407,365500,
ARY 360627,341100,
ARY 378633,666000,
ARY 381227,148300,
ARY 389409,121900,
ARY 390311,162500,
ARY 391246,479200,
ARY 391249,613200,
AT 6092,37000,
AT 705302,56700,
AT 705802,56700,
ATE 002.295.020.6,0,
ATL 6302,13400,
ATL WS-32,171700,
AU-911 STD,0,
AU-911-2X,7600,
AU-911-3X,7600,
AU-912-2X,0,
AU-912-3X,0,
AU-912-5X,0,
AU-912-STD,0,
AUG 1349840,316700,
AUG 1363122,333400,
AUG 1424231,350000,
AUG 1543691/1,724600,
AUG 346199,1166700,
AUT 01842,102400,
AUT 01843,75700,
AUT 01967,84700,
AUT 09078,73400,
AUT 09584,127100,
AVL VS8952,0,
AYS 913842/913810,1175600,
B-FU707,0,
BA430,0,
BA512,0,
BAI 1035 FL,35000,
BAI 1035 FL AZUL,36500,
BAI 1035 FL ROJO,19200,
BAI 1035 FL VERDE,44900,
BAI 1035 LED A,58400,
BAI 1035 LED R,58400,
BAI 1035 LED V,112500,
BAI 1035/6 AZUL,5400,
BAI 1035/6 CRISTL,5500,
BAI 1035/6 NARANJ,5500,
BAI 1035/6 ROJO,4500,
BAI 1035/6 VERDE,5500,
BAI 634 CRISTAL,20000,
BAI 634 NARANJA,20000,
BAI 634 ROJO,20000,
BAI 634 VERDE,20000,
BAI 634FL AMAR,41700,
BAI 634FL ROJO,41700,
BAI 634FL VERDE,41700,
BAI 634L AMAR,6700,
BAI 634L CRISTAL,5500,
BAI 634L ROJO,5900,
BAI 634L VERDE,5900,
BAL 01,0,
BAL 0224 D,4866700,
BAL 0224 I,5250000,
BAL 0225 D,5250000,
BAL 0225 I,5250000,
BAL 3663,587200,
BAL 37263,183400,
BAL 3861,0,
BAL 66046,275000,
BAL B495,128000,
BAL C53008,159200,
BAS 11635,0,
BAT 0720,779800,
BAT 1019,866900,
BAT 1023,591700,
BAT 1025,1116700,
BAT 1027,736300,
BAT 1031,1000000,
BAT 1033,1250000,
BAT 114,541700,
BAT 116,637200,
BAT 1374099,446800,
BAT 3550,0,
BAT 5005,1550000,
BAT 5010,1150000,
BAT 7045,808400,
BAT 7052,672000,
BAT 8022,966700,
BAT TEST,666700,
BAT VAR,21700,
BATA 1109278,471000,
BATA 1109279,983400,
BD 0-2503,15300,
BD 0-2504,12300,
BD 1-1014,11000,
BD 1-1155,34400,
BD 1-1156,34400,
BD 1-1522,549400,
BD 1-1710,130500,
BD 2-0101,55000,
BD 2-0103,21900,
BD 2-2000,261000,
BD 2-2031,27500,
BD 2-2506,1700,
BD 2-2511,6900,
BD 2-2515,900,
BD 4-5100,247200,
BD 4-5200,13800,
BD 4-6010,274700,
BD 4-6100,247200,
BD 5-0001,57700,
BD 5-0002,57700,
BD 5-0003,57700,
BD 5-0004,57700,
BD 5-0100,50900,
BD 5-0120,23400,
BD 5-2000,16800,
BD 5-2001,16800,
BD 5-2005,16800,
BD 5-2006,16800,
BD 5-2010,16800,
BD 5-2015,16800,
BD 5-2016,16800,
BD 5-2020,16800,
BD 5-2200,41200,
BD 5-2201,41200,
BD 5-2300,41200,
BD 5-2301,41200,
BD 6-0101,111300,
BD 8-1680,19300,
BD 9-9000,11400,
BD 9-9003,39900,
BD 9-9430,40600,
BEL 101011970,191700,
BEL 101012101,572300,
BEL 101012209,636500,
BEL 101021771,362300,
BEL 10102345,716700,
BEL 560820011,5009000,
BEN BX-315,0,
BEN BX-319,0,
BEP 059M,105900,
BEP B004,217600,
BEP B018,87000,
BEP B018G,103200,
BEP B018H,135800,
BEP B018L,173400,
BEP B018P,195000,
BEP B018U,61900,
BEP B025A AZUL,399200,
BEP B025A FUME,497600,
BEP B025A ROJO,401100,
BEP B025B FUME,462400,
BEP B025C AZUL,197100,
BEP B025C FUME,259000,
BEP B025C ROJO,203000,
BEP B025D FUME,251500,
BEP B025F ROJO,452000,
BEP B026 AZUL,101600,
BEP B026 FUME,110700,
BEP B026 ROJO,119000,
BEP B026E AZUL,127800,
BEP B040,20000,
BEP B040B,27700,
BEP B040F,22400,
BEP B050B,85100,
BEP B050G FUME,126700,
BEP B050G ROJO,112000,
BEP B050X,95800,
BEP B050Z FUME,129100,
BEP B054,10400,
BEP B054M,1598400,
BEP B054N,1643200,
BEP B054P,1503200,
BEP B054U,1868300,
BEP B055 D,1504300,
BEP B055B,1951800,
BEP B055F,1445900,
BEP B055N,1722700,
BEP B055O,38200,
BEP B056P,2083500,
BEP B057K,1292300,
BEP B057L,1462200,
BEP B057M,2328100,
BEP B057N,1337600,
BEP B057O,1330200,
BEP B057S,1936800,
BEP B059 W,131000,
BEP B059E,53400,
BEP B059H,41100,
BEP B059L,131500,
BEP B059N,176800,
BEP B059O,114700,
BEP B059T,31500,
BEP B060F,10700,
BEP B060L,30200,
BEP B060X,57400,
BEP B060Z,7800,
BEP B061S,180300,
BEP B062F,141100,
BEP B062J,40300,
BEP B062Q,15800,
BEP B062R,189900,
BEP B062S,18000,
BEP B062T,30700,
BEP B062X,18000,
BEP B062Y,15800,
BEP B063L,51000,
BEP B069,47000,
BEP B069G,29100,
BEP B070C,13100,
BEP B070N,23800,
BEP B070Q,68000,
BEP B071W,16400,
BEP B071X,41100,
BEP B072N,35500,
BEP B072Q,89900,
BEP B072R,39800,
BEP B072U,158700,
BEP B073 E,535000,
BEP B073M,187500,
BEP B073N,133400,
BEP B073P,75000,
BEP B073Q,26700,
BEP B081D,1520300,
BEP B098,162400,
BEP B098F,36800,
BEP B1205,370400,
BEP B575,60000,
BEP B713,366700,
BEP C015,436000,
BEP C016,465900,
BEP C018,323200,
BEP C020,407800,
BEP C021,337400,
BEP C050A,83800,
BEP C051A,153600,
BEP C057,85100,
BEP D601,362400,
BEP D601A,418700,
BEP D720G,67800,
BEP D720H,38200,
BEP I1082,374000,
BEP I949,293400,
BEP M-038G,196000,
BEP M-123,215200,
BEP M002,19500,
BEP M004,17500,
BEP M014A,110400,
BEP M025C,51500,
BEP M025D,53900,
BEP M025E,58400,
BEP M026,58700,
BEP M026B,53400,
BEP M026E,99800,
BEP M026F,87000,
BEP M026G,108300,
BEP M026H,96300,
BEP M026I,131000,
BEP M038C,76000,
BEP M038D,95000,
BEP M038I,379500,
BEP M038K,296300,
BEP M040,23000,
BEP M040B,23800,
BEP M044H,86700,
BEP M044I,205100,
BEP M044J,28600,
BEP M047C,14200,
BEP M069A,58700,
BEP M070A,53600,
BEP M070B,71800,
BEP M070H,124800,
BEP M070I,96000,
BEP M070J,139200,
BEP M071A,84800,
BEP M071E,108800,
BEP M071G,74200,
BEP M071H,81600,
BEP M073C,476800,
BEP M073D,503800,
BEP M073E,743500,
BEP M073L,649900,
BEP M073U,628300,
BEP M073W,733900,
BEP M080,199000,
BEP M080A,203500,
BEP M080C,76000,
BEP M080D,84800,
BEP M080E,19200,
BEP M080F,22700,
BEP M080G,38700,
BEP M080H,47000,
BEP M080I,55000,
BEP M080J,76600,
BEP M081,234200,
BEP M081A,200800,
BEP M081B,319500,
BEP M081C,116300,
BEP M081D,183400,
BEP M081E,20000,
BEP M081F,34700,
BEP M081J,78400,
BEP M081K,196800,
BEP M081M,304000,
BEP M081R,71200,
BEP M082A,141600,
BEP M082C,67500,
BEP M082I,47200,
BEP M082J,64000,
BEP M084,289600,
BEP M085,295200,
BEP M085A,271200,
BEP M085C,165900,
BEP M085D,189100,
BEP M085E,0,
BEP M085H,52800,
BEP M085J,99500,
BEP M085K,429900,
BEP M086I,104600,
BEP M086S,190400,
BEP M087C,167200,
BEP M089K,788000,
BEP M110,49900,
BEP M115,49900,
BEP M117,80800,
BEP M124,448000,
BEP M124A,164600,
BEP M124B,74200,
BEP M124C,74200,
BEP M124D,26400,
BEP M135,24000,
BEP M136I,72600,
BEP M147,11300,
BEP M148,22400,
BEP M149B,36800,
BEP M149P,79200,
BEP M149Q,79200,
BEP M150I,243500,
BEP M152B,163000,
BEP M153A,133100,
BEP M153B,87800,
BEP M153J,141700,
BEP M153M,113100,
BEP M153O,115200,
BEP M153P,100800,
BEP M154B,245900,
BEP M156J,87000,
BEP M156L,123500,
BEP M156M,94200,
BEP M156O,93900,
BEP M156P,85600,
BEP M156Q,93900,
BEP M156V,190200,
BEP M156W,99000,
BEP M158A,3300,
BEP M158F,155800,
BEP M158G,75500,
BEP M158O,108000,
BEP M159Y,4200,
BEP M163D,667200,
BEP M164,302400,
BEP M164C,663200,
BEP M165,505900,
BEP M165CI,551200,
BEP M168A,1118700,
BEP M171E,821900,
BEP M171J,87000,
BEP M171L,235200,
BEP M171W,182200,
BEP M178K,75000,
BEP M185,87000,
BEP M186,190700,
BEP M187B,43500,
BEP M187BI,49600,
BEP M189,1124600,
BEP M189F,1163500,
BEP M192,473100,
BEP M193,644300,
BEP M193A,766400,
BEP M193B,600800,
BEP M193D,705900,
BEP M193G,619000,
BEP M193I,713400,
BEP M194,798400,
BEP M194A,558200,
BEP M194D,757600,
BEP M194S,871800,
BEP M195,93900,
BEP M195B,152000,
BEP M195Q,12600,
BEP M196A,222700,
BEP M196B,119800,
BEP M198E,113600,
BEP M198G,96000,
BEP M198N,86700,
BEP M199,4500,
BEP M230E,107000,
BEP M230N,83000,
BEP S208,92000,
BEP S210,52600,
BEP S210A,38200,
BEP S214,106200,
BEP S214A,129400,
BEP S215,45900,
BEP S220,43200,
BEP S220A,28600,
BEP S237A,60600,
BEP S239,65900,
BEP S241,135000,
BEP S243,109900,
BEP S243A,109900,
BEP S245,636800,
BEP S245A,512000,
BEP S248,164800,
BEP S249,137600,
BEP S264G,1022400,
BEP S281,346700,
BEP S282,335200,
BEP S298,291700,
BEP S302B,353600,
BEP S302C,478200,
BEP S302D,560000,
BEP S303A,215000,
BEP S303B,262700,
BEP S304E,860000,
BEP S304G,248800,
BEP S304H,139800,
BEP S304I,340600,
BEP S304J,365100,
BEP S304Q,694700,
BEP S304R,156300,
BEP S304S,199200,
BEP S304T,118400,
BEP S304U,569100,
BEP S304V,331200,
BEP S305A,123500,
BEP S308,138400,
BEP S315,94700,
BEP S316C,102700,
BEP S316F,161400,
BEP S316G,125600,
BEP S316H,113600,
BEP S340A,18300,
BEP S349C,309400,
BEP S349J,33600,
BEP S349M,43800,
BEP S349T,226200,
BEP S355,965400,
BEP S355A,1254400,
BEP S355C,1289400,
BEP S355D,833900,
BEP S355F,1268800,
BEP S356,1840000,
BEP S357,1464600,
BEP T001B,237900,
BEP T001C,230200,
BEP T001D,193600,
BEP T002C,176000,
BEP T002H,277100,
BEP T002I,211500,
BEP T002J,175800,
BEP T003,82400,
BEP V827,182700,
BEP V829,325400,
BEP V836,666700,
BEP V853,413100,
BEP V854,401600,
BEP V855A,753600,
BEP V860,306400,
BEP V862,40300,
BEP V864,89100,
BEP V865,35200,
BEP V867A,17400,
BEP V869,11600,
BEP V872,838400,
BEP V872Z,162400,
