Empresa,Yhaguy,
,,
CODIGOINTERNO,LISTA,
MON 287867,27800,
MON 288649,40300,
MON 289445,700,
MON 298574,28600,
MON 301189,8200,
MON 301484,239800,
MON 303076,48000,
MON 306499.1,16100,
MON 314572,30900,
MON 318537,18400,
MON 370710,37200,
MON 372621,21500,
MON 372622,9700,
MON 381817,3100,
MON 384100,13800,
MON 384103,16100,
MON 384103.1,16100,
MON 384103.3,31300,
MON 384107,16100,
MON 384970,60800,
MON 522325,13100,
MON 523827,8400,
MON 524094,96000,
MON 525090,292800,
MON 526146,19200,
MON 528789.2,16100,
MON 528801,3100,
MON 528803,2600,
MON 537214,19200,
MON 60047,15600,
MORD 01,633400,
MOT 67712,283400,
MOT MP-01007,602300,
MOT MP-11169,9792300,
MOT MP11090,7500000,
MOT R11024,0,
MP 9302,91700,
MP 9304,100900,
MP 9305,91700,
MP 9347,58400,
MP 9348,75000,
MP-153,91700,
MP-9308,66700,
MP-9309,66700,
MP-9310,66700,
MP-9311,66700,
MP-9312,56700,
MSR 10.003,18300,
MSR 1313,15100,
MTE 214.79,141500,
MTE 236.71,100500,
MTE 3022-L,51600,
MTE 3030,73400,
MTE 359.83,208000,
MTE-214.71,183000,
MTE-238.79,0,
MTE-3053,28600,
MTE-VT236.71,105700,
MTE-VT397.80,240300,
MULT 1193 L/D,313200,
MULT 1193 L/I,313200,
MWM 001,520000,
MWM 002,190700,
MWM 003,693400,
MWM 004,126000,
MWM 005,28000,
MWM C-57570,251500,
N-2560,0,
NA.7547.010,152200,
NAC 32309,308200,
NAC 60032NSL,0,
NAK AC-25001,119200,
NAK AC-25003,117900,
NAK AC-25013,139200,
NAK AC-25021,171200,
NAK AC-25068,187800,
NAK AC-25172,126400,
NAK AC-30071,112800,
NAK AC-30427,171500,
NAK AC-30553,194200,
NAK AC-30668,148800,
NAK AC-30671,118700,
NAK AC-30726,157400,
NAK AC-30728,131500,
NAK AC-30747,162700,
NAK AC-30756,207800,
NAK AC-30757,267800,
NAK AC-30790,175800,
NAK AC-30799,182200,
NAK AC-30825,188000,
NAK AC-30828,143000,
NAK AC-30830,170200,
NAK AC-30831,156300,
NAK AC-30850,141900,
NAK AC-30911,220800,
NAK AC-30935,200300,
NAK AC-30936,159200,
NAK AC-31003,195500,
NAK AC-31036,149400,
NAK AC-31123,238700,
NAK AC-35001,184000,
NAK AC-35050,213100,
NAK AC-35461,210200,
NAK AC-35466,183500,
NAK AC-35467,191200,
NAK AC-35481,199500,
NAK AC-35482,188000,
NAK AC-35721,205400,
NAK AC-35722,193400,
NAK AC-35764,189900,
NAK AC-35765,191000,
NAK AC-35805,170400,
NAK AC-35818,184000,
NAK AC-35819,182700,
NAK AC-35820,164000,
NAK AC-35859,186200,
NAK AC-36059,273400,
NAK AP-25001,137600,
NAK AP-25124,154400,
NAK AP-25243,148000,
NAK AP-25543,175000,
NAK AP-30442,152300,
NAK AP-30460,151800,
NAK CT-25001,148300,
NAK CT-30781,176600,
NAK CT-30826,133400,
NAK CT-32542,161600,
NAK CT-32552,141400,
NAK CT-32593,160300,
NAK CT-32731,140000,
NAK HG-19217,57400,
NAK HG-30139,136800,
NAK HG-30730,201400,
NAK HG-30736,287200,
NAK HG-30738,218200,
NAK HG-30773,219200,
NAK HG-30780,175500,
NAK HG-30791,275800,
NAK HG-30792,204000,
NAK HG-30793,262700,
NAK HG-30794,230400,
NAK HG-30795,198200,
NAK HG-30796,187000,
NAK HG-30802,278200,
NAK HG-30803,216600,
NAK HG-30923,203000,
NAK HG-30924,211000,
NAK HG-30931,200300,
NAK HG-30932,232600,
NAK HG-30933,226400,
NAK HG-30943,223500,
NAK HG-30970,237400,
NAK HG-31038,155000,
NAK HG-31039,188000,
NAK HG-31040,219000,
NAK HG-31058,295000,
NAK HG-31059,303800,
NAK HG-31060,198200,
NAK HG-31100,247500,
NAK HG-31101,192600,
NAK HG-31102,255000,
NAK HG-31103,204600,
NAK HG-31104,262200,
NAK HG-31105,264300,
NAK HG-31106,211200,
NAK HG-31107,216300,
NAK HG-31115,278700,
NAK HG-31117,362400,
NAK HG-31118,337900,
NAK HG-31119,184600,
NAK HG-31122,172300,
NAK HG-31125,213900,
NAK HG-31128,172300,
NAK HG-31129,203800,
NAK HG-31131,215500,
NAK HG-31138,295000,
NAK HG-31139,287000,
NAK HG-31140,228300,
NAK HG-31141,264300,
NAK HG-31144,333100,
NAK HG-31145,252000,
NAK HG-31152,216300,
NAK HG-31186,315000,
NAK HG-31187,270200,
NAK HG-31194,379500,
NAK HG-31195,235500,
NAK HG-31208,160000,
NAK HG-31248,246200,
NAK HG-32167,178700,
NAK HG-32693,258400,
NAK HG-32729,179800,
NAK HG-32741,213900,
NAK HG-32768,221600,
NAK HG-32778,384300,
NAK HG-32779,308000,
NAK HG-32871,360300,
NAK HG-32872,308300,
NAK HG-33004,270400,
NAK HG-33009,295800,
NAK HG-33012,318700,
NAK HG-33013,292300,
NAK HG-33016,315000,
NAK HG-33017,371500,
NAK HG-33018,386400,
NAK HG-33019,368800,
NAK HG-33020,349100,
NAK HG-33022,445100,
NAK HG-33029,327200,
NAK HG-33030,327200,
NAK HG-33031,324300,
NAK HG-33033,346200,
NAK HG-33034,308600,
NAK HG-33035,252300,
NAK HG-33036,313600,
NAK HG-33037,329900,
NAK HG-33038,376300,
NAK HG-33039,403800,
NAK HG-33042,336000,
NAK HG-33051,438200,
NAK HG-33052,433400,
NAK HG-33053,364000,
NAK HG-33056,312800,
NAK HG-33062,359000,
NAK HG-33065,401600,
NAK HG-33068,318400,
NAK HG-33073,311000,
NAK HG-33074,312800,
NAK HG-33077,284800,
NAK HG-33078,284800,
NAK HG-33079,295000,
NAK HG-33080,295200,
NAK HG-36027,219800,
NAK HG-36028,205400,
NAK HG-36029,195800,
NAK HG-36030,266400,
NAK HG-36031,247500,
NAK HG-36034,222400,
NAK HG-36035,228300,
NAK HG-36036,305400,
NAK HG-36037,189600,
NAK HG-36038,149900,
NAK HG-36039,227200,
NAK HG-36040,198200,
NAK HG-36044,150700,
NAK HG-36049,198400,
NAK HG-36051,185600,
NAK HG-36054,205900,
NAK HG-36055,194200,
NAK HG-36070,281900,
NAK HG-36073,247000,
NAK HG-37001,309600,
NAK HG-41013,309100,
NAK HG-41014,303000,
NAK HG-41042,143000,
NAK MG-16039,56600,
NAK MG-16040,55500,
NAK MG-16098,64600,
NAK MG-16114,59200,
NAK MG-16213,69400,
NAK MG-16638,72000,
NAK MG-16704,70200,
NAK MG-16718,66200,
NAK MG-16952,49400,
NAK MG-16954,60000,
NAK MG-17122,77600,
NAK MG-17123,80000,
NAK MG-17128,68300,
NAK MG-17129,80300,
NAK MG-19003,60000,
NAK MG-19217,57400,
NAK MG-19402,66200,
NAK N-1003,260800,
NAK N-1004,211800,
NAK N-1006 D,89600,
NAK N-1007 E,67200,
NAK N-1008,217900,
NAK N-1009,213100,
NAK N-1012,44300,
NAK N-1014,50200,
NAK N-1015,55000,
NAK N-1017,224800,
NAK N-1020,45100,
NAK N-1021,199000,
NAK N-1026,102200,
NAK N-1027,33100,
NAK N-1029,81100,
NAK N-1030,51800,
NAK N-1031,51500,
NAK N-1032,53900,
NAK N-1033,54700,
NAK N-1034,96800,
NAK N-1037,283200,
NAK N-1044,290400,
NAK N-1045,100000,
NAK N-1046,225900,
NAK N-1047,97900,
NAK N-1048,202200,
NAK N-1049,228300,
NAK N-1058,45600,
NAK N-1059,45100,
NAK N-1061,27500,
NAK N-1062,35200,
NAK N-1063,44600,
NAK N-1064,65600,
NAK N-1065,65100,
NAK N-1067,127500,
NAK N-1068,111200,
NAK N-1069,134700,
NAK N-1070,134700,
NAK N-1074,73600,
NAK N-1075,73600,
NAK N-1076,125600,
NAK N-111,33100,
NAK N-112,33100,
NAK N-120,32800,
NAK N-122FP,29100,
NAK N-125,49100,
NAK N-127,28600,
NAK N-128,28000,
NAK N-129,47200,
NAK N-135,75000,
NAK N-138,84300,
NAK N-140,359200,
NAK N-141,111800,
NAK N-143,91500,
NAK N-162,53100,
NAK N-174,77600,
NAK N-175,40600,
NAK N-183,32300,
NAK N-186,33600,
NAK N-187,91200,
NAK N-188,53900,
NAK N-189,52600,
NAK N-195,49600,
NAK N-196,37400,
NAK N-197,30700,
NAK N-2006,113900,
NAK N-2007,46200,
NAK N-2008,44000,
NAK N-2013,605600,
NAK N-2014,1220600,
NAK N-2017,68600,
NAK N-2018,40300,
NAK N-2019,47200,
NAK N-2020,34200,
NAK N-2021,171500,
NAK N-2025,42200,
NAK N-2027,69600,
NAK N-2038,153600,
NAK N-2039,81600,
NAK N-2097,62700,
NAK N-2120,37600,
NAK N-2121,150700,
NAK N-2122,97900,
NAK N-2124,494400,
NAK N-2132,335500,
NAK N-2133,474200,
NAK N-2134,226400,
NAK N-2135,285600,
NAK N-2136,134400,
NAK N-235,46400,
NAK N-241,367000,
NAK N-242,362700,
NAK N-246,252800,
NAK N-247,210700,
NAK N-249,65600,
NAK N-3003,29600,
NAK N-3004,40000,
NAK N-3005,46200,
NAK N-3008,46200,
NAK N-3009,58400,
NAK N-3010,41400,
NAK N-3012,88800,
NAK N-302,53100,
NAK N-3022,40000,
NAK N-3023,53900,
NAK N-303,46200,
NAK N-3032,54200,
NAK N-304,55200,
NAK N-3045,42700,
NAK N-305,47000,
NAK N-3057,216800,
NAK N-3058,260000,
NAK N-3067,65100,
NAK N-307,59000,
NAK N-3072,45100,
NAK N-316,47800,
NAK N-317,88300,
NAK N-318,53100,
NAK N-319,52800,
NAK N-324,72800,
NAK N-325,52000,
NAK N-326,53100,
NAK N-330,60300,
NAK N-331,41400,
NAK N-336,130200,
NAK N-337,143000,
NAK N-338,80300,
NAK N-352,350200,
NAK N-356,195500,
NAK N-357,42200,
NAK N-364,96800,
NAK N-365,56300,
NAK N-398,57900,
NAK N-504,225600,
NAK N-5086,237100,
NAK N-509,205900,
NAK N-510,221600,
NAK N-5105,228300,
NAK N-511,450400,
NAK N-513,832000,
NAK N-5183,277900,
NAK N-5185,275000,
NAK N-5198,404000,
NAK N-5210,301400,
NAK N-523,205100,
NAK N-524,88800,
NAK N-525,88800,
NAK N-5250,204600,
NAK N-526 D,76800,
NAK N-527 E,65100,
NAK N-528,304600,
NAK N-533,147800,
NAK N-538,74700,
NAK N-539,74700,
NAK N-544,624300,
NAK N-556,584300,
NAK N-561,668300,
NAK N-580,147800,
NAK N-581,760300,
NAK N-596,736600,
NAK N-6007,47200,
NAK N-6008,47200,
NAK N-6009,42400,
NAK N-6010 D,44300,
NAK N-6011,44800,
NAK N-6012,43500,
NAK N-6013,37400,
NAK N-6014,41900,
NAK N-6015,44800,
NAK N-6016,39500,
NAK N-6017,46400,
NAK N-6018,39000,
NAK N-6019,72000,
NAK N-6020,48600,
NAK N-6026,44000,
NAK N-603,178700,
NAK N-604,178700,
NAK N-6058,42400,
NAK N-6068,64800,
NAK N-6074,63000,
NAK N-6075,56300,
NAK N-623,90400,
NAK N-6506,675800,
NAK N-6507,800800,
NAK N-6508,675800,
NAK N-6514,185100,
NAK N-6517,401100,
NAK N-6518,925600,
NAK N-6519,495000,
NAK N-6521,186200,
NAK N-6526,74400,
NAK N-6567,1534200,
NAK N-6572,341600,
NAK N-6580,1543500,
NAK N-6591,1329900,
NAK N-661,396600,
NAK N-662,591600,
NAK N-663,1116800,
NAK N-664,804800,
NAK N-665,673600,
NAK N-668,140000,
NAK N-669,136300,
NAK N-672,124600,
NAK N-673,112800,
NAK N-683,171800,
NAK N-860,203800,
NAK N-861,205400,
NAK N-881,232300,
NAK N-883,233100,
NAK N-884,2676800,
NAK N-893,329100,
NAK N-895,272000,
NAK N-92011,86200,
NAK N-92016,52000,
NAK N-92017,46700,
NAK N-9235,108000,
NAK N-93004,85600,
NAK N-93005,57600,
NAK N-93006,54200,
NAK N-93007,56300,
NAK N-93009,56000,
NAK N-93017,57900,
NAK N-93018,47200,
NAK N-93019,81100,
NAK N-93021,58700,
NAK N-93045,139500,
NAK N-93046,141100,
NAK N-954,59000,
NAK N-96009,80300,
NAK N-96027,65100,
NAK N-97000,31000,
NAK N-97007,123500,
NAK N-97018,95500,
NAK N-974,205900,
NAK N-975,200000,
NAK N-99033,49900,
NAK N-99053,159200,
NAK N-99054,164800,
NAK N-99055,143500,
NAK N-99084,60600,
NAK N-99085,61900,
NAK N-99098,53400,
NAK N-99109,68600,
NAK N-99125,265900,
NAK N-99126,259000,
NAK N-99128,55500,
NAK N-99129,155000,
NAK N-99150,38700,
NAK N-99160,56600,
NAK N-99161,69900,
NAK N-99162,67500,
NAK N-99186,157400,
NAK N-99216,111000,
NAK N-99275,64000,
NAK NB-11004,17900,
NAK NBJ-2004EP,182700,
NAK NC-04001,121400,
NAK NC-04002,128600,
NAK NC-04003,137100,
NAK NC-04004,245400,
NAK NC-06001,187500,
NAK NC-06009,256300,
NAK NC-08001,371000,
NAK NC-08004,279500,
NAK NC-08006,162400,
NAK NC-08015,155800,
NAK NC-08016,165600,
NAK NC-11001,342400,
NAK NC-11003,186700,
NAK NC-11009,181600,
NAK NC-11016,267200,
NAK NC-12001,194200,
NAK NC-12002,204000,
NAK NC-12008,323500,
NAK NC-14002,349400,
NAK NC-14005,342400,
NAK NC-14012,344800,
NAK ND-01011,800600,
NAK ND-05001,480800,
NAK NJH05-1829,178200,
NAK NJH05-669,201400,
NAK NJH15-339,135200,
NAK NJH25-129A,141400,
NAK NJH26-139,152800,
NAK NJH35-909,162400,
NAK NJH46-139,165600,
NAK NJH53-1379,243500,
NAK NJH55-499,145100,
NAK NJH56-509,210400,
NAK NJH61-1449,184800,
NAK NJH61-419,171000,
NAK NJH63-269,244000,
NAK NJH95-149,150700,
NAK NKBA-01766,137600,
NAK NKBA-02944,138700,
NAK NKBA-03147,122200,
NAK NKBA-03152,127200,
NAK NKBA-03162,160600,
NAK NKBA-05314,502200,
NAK NKBA-05366,483200,
NAK NKBA-05370,620300,
NAK NKBA-07625,98400,
NAK NKBA-07627,86700,
NAK NKBA-07628,122200,
NAK NKBA-07636,135200,
NAK NKBA-11027,107000,
NAK NKBA-11980,485400,
NAK NKBA-11981,515800,
NAK NKBA-11986,2194200,
NAK NKBC-01300,82400,
NAK NKBC-03122,112300,
NAK NKBC-03141,128300,
NAK NKBC-03711,95500,
NAK NKBC02510,111500,
NAK NKBC07131,76600,
NAK NKBC07510,94200,
NAK NKBC07910,97900,
NAK NKBO-0100,226700,
NAK NKBO-0105,171200,
NAK NKBO-0150,507000,
NAK NKBO-0210,197600,
NAK NKBO-0300,273600,
NAK NKBO-0305,351000,
NAK NKBO-0310,406400,
NAK NKBO-0415,87500,
NAK NKBO-0425,114700,
NAK NKBO-0500,702400,
NAK NKBO-0510,755200,
NAK NKBO-0600,364000,
NAK NKBO-0700,259000,
NAK NKBO-0704,522200,
NAK NKBO-0705,113900,
NAK NKBO-0710,117900,
NAK NKBO-0720,200800,
NAK NKBO-0725,191500,
NAK NKBO-0755,255200,
NAK NKBO-0785,238400,
NAK NKBR-051313,256000,
NAK NKBR-051364,251800,
NAK NKBR-05709,189600,
NAK NKBR-11985,416800,
NAK NKCB-091,422200,
NAK NKCB-092,380000,
NAK NKF-1005P,53900,
NAK NKF-1012P,79200,
NAK NKF-1025P,127500,
NAK NKF-1036P,120300,
NAK NKF-1038,47200,
NAK NKF-1040P,42400,
NAK NKF-1044P,74200,
NAK NKF-1048P,109900,
NAK NKF-1054P,43200,
NAK NKF-1058P,104600,
NAK NKF-1060P,0,
NAK NKF-1063P,113900,
NAK NKF-1068P,152000,
NAK NKF-1085P,100000,
NAK NKF-1098P,279000,
NAK NKF-1102P,138200,
NAK NKF-1119P,92000,
NAK NKF-1129P,178700,
NAK NKF-1133P,183500,
NAK NKF-1164P,222200,
NAK NKF-1186P,194200,
NAK NKF-1202P,105600,
NAK NKF-1239P,118700,
NAK NKF-1248P,106200,
NAK NKF-1250P,137900,
NAK NKF-1257P,169900,
NAK NKF-1268P,150400,
NAK NKF-1281P,76000,
NAK NKF-1286P,74200,
NAK NKF-1288P,79000,
NAK NKF-1320P,61400,
NAK NKF-1348P,72000,
NAK NKF-6013,155000,
NAK NKF-6034,40600,
NAK NKF-6039,103000,
NAK NKF-6064,633600,
NAK NKF-6074,288800,
NAK NKF-8057,425600,
NAK NKF-8058,160600,
NAK NKF-8081,261100,
NAK NKF-8082,351200,
NAK NKF-8102,780600,
NAK NKJ-1379,25400,
NAK NKJ-139,18400,
NAK NKJ-1719,27200,
NAK NKJ-209,31500,
NAK NKJ-259,18400,
NAK NKJ-339,15200,
NAK NKJ-499,22700,
NAK NKJ-509,17000,
NAK NKJ-599,19200,
NAK NKJ-659,18400,
NAK NKJ129-2,15800,
NAK NKJ419-1,18700,
NAK NKK-440,61900,
NAK NKM-125,320000,
NAK NKM-126,302200,
NAK NKM-245,500300,
NAK NKM-559M,155000,
NAK NUJ-12062,179800,
NAK NUJ-12072,253900,
NAK NUJ-12100,137100,
NAK NUJ-12213,77400,
NAK NUJ-12276,148300,
NAK NUJ-12278,183800,
NAK NUJ-12924,160300,
NAK NUJ-12932,243500,
NAK NUJ-153,51500,
NAK NUJ-160,70700,
NAK NUJ-178,58400,
NAK NUJ-263,80300,
NAK NUJ-273,50700,
NAK NUJ-275,92000,
NAK NUJ-281,201400,
NAK NUJ-438,161900,
NAK NUJ-510,249600,
NAK NUJL-170,222700,
NAK NUJL-90,128300,
NAK SE-30526,244000,
NAK SE-30527,262200,
NAK SE-30759,260300,
NAK SE-30761,268800,
NAK SE-30829,199200,
NAK SE-30851,217900,
NAK SE-30852,218700,
NAK SE-31057A,258200,
NAK SE-31091,214400,
NAK SE-31142,292300,
NAK SE-31143,240000,
NAK SE-32760,213900,
NAK SE-32787,271000,
NAR 48951,50100,
NARV 1242,0,
NARV 17035,5200,
NARV 17037,1600,
NARV 17038,6600,
NARV 17039,6000,
NARV 17040,2900,
NARV 17125,2300,
NARV 17131,1900,
NARV 17136,2700,
NARV 17141,2900,
NARV 17171,2500,
NARV 17177,1700,
NARV 17181,3300,
NARV 17197,2800,
NARV 17311,2600,
NARV 17314,0,
NARV 17315,0,
NARV 17326,5600,
NARV 17327,0,
NARV 17329,2700,
NARV 17635,2500,
NARV 17643,3500,
NARV 17916,3100,
NARV 17918,3500,
NARV 17919,14100,
NARV 17925,5200,
NARV 17927,5500,
NARV 42007,12100,
NARV 48006,33400,
NARV 48320,13200,
NARV 48321,11900,
NARV 48328,34300,
NARV 48350,28000,
NARV 48351,17100,
NARV 48598,24700,
NARV 48700,19800,
NARV 48702,25900,
NARV 48728,76400,
NARV 48750,45200,
NARV 48751,32600,
NARV 48881,16400,
NARV 48884,17800,
NARV 48892,30800,
NARV 48894,28700,
NARV 48901,23700,
NARV 48904,26300,
NARV 48991,52900,
NARV 48994,48400,
NC-0160/1,314900,
NC-756,265900,
NEP 366.030.2120,433400,
NEP 501-00405,509400,
NEW 175,267500,
NIN F-117,183400,
NIN F-118BL,0,
NIN F-137,328400,
NIN F-138,341500,
NIN F-141,241700,
NIN F-142,241700,
NIN F-157,366700,
NIN F-158,366700,
NIN F-197,100000,
NIN F-201 L/I,209000,
NIN F-202 L/D,416700,
NIN F-34,87000,
NIN F-36V,136800,
NIN F-37V,136800,
NIN F-38V,136800,
NIN F-50C,178400,
NIN OP-48787,333400,
NIN OP-52799,333400,
NKMT ST-1540,33400,
NKS 6305,58700,
NOMIS NFCT127,40500,
NOS EXF-12V,115500,
NOS EXF-24V,115500,
NOS RNB-08500,84000,
NOS SPB,138100,
NOS SXB,184200,
NOS TPDS-12V,189900,
NP 32218,125000,
NSB 6305 DD,47900,
NSK 30BD40V,142400,
NSK 3305,474200,
NSK 6001,28000,
NSK 6004,25500,
NSK 6015 DD,478400,
NSK 6201,0,
NSK 6206,49000,
NSK 6312,525000,
NSK HR30311DJ,505000,
NSK NU202,211500,
NTI 1321239,92400,
NTI 1321420,17800,
NTI 1331770,999100,
NTI 1355979,444300,
NTI 1358801,277400,
NTI 1374083,222000,
NTI 1421186,997400,
NTI 1655639,999900,
NTI 1671953,1004200,
NTI 244441X,20300,
NTI 284015,267200,
NTI 360717,1174900,
NTI 537194,243100,
NTI 550462,115000,
NTI 550464,113400,
NTI 9700519542,233400,
NTN 205149/10,294900,
NTN 32306,193400,
NTN 6204,45500,
NTN 6204 2RS,43800,
NTN 6215 NR,398900,
NTN 62201,66700,
NTN 6305,56600,
NTN 6403,159900,
NTR 6306,0,
NWO RDL-1306,385000,
NWO RDL-1357,267500,
OE 010129366001,4692300,
OE 051820D90000,1955400,
OEG 05-1500,4855900,
OM 355/5,366700,
ORG FM-195LI,120000,
ORG FM-53LI,250000,
ORG FM-54LE,250000,
ORG FM-69LD,291700,
ORG FM-69LE,291700,
ORG FU-199,108400,
ORI 1301106,53400,
ORI 1302891,73400,
ORI 1318321,33500,
ORI 77,0,
OTO 0411167023,711700,
OTOGLD-2183M,0,
P-707.6,0,
PAB 124,80800,
PAM 0003886,800000,
PAM 3081,58400,
PAM 3177/1,150000,
PAM 3177/2,192600,
PAM 4188,150000,
PAM 5438,75000,
PAR 1705,316700,
PAR PERI-381,430700,
PAS 244090,46700,
PD 117,916700,
PE 12025000,116100,
PE 12025100,379700,
PE 126.100.00A,662500,
PEA P222 0.20,183400,
PEA P222 0.30,158400,
PEA P222 STD,183400,
PEA P222 STD S/P,158400,
PEA P234 0.10,131700,
PEA P234 0.20,158400,
PEA P234 0.30,158400,
PEA P234 STD,158400,
PEC776,87800,
PER 226-072 STD,196900,
PER PC46076 STD,192000,
PES 2580,216700,
PES 274,116700,
PES 440P,336300,
PES F-52385,26700,
PES F-52386,33900,
PES F-58529,61500,
PFI 62201,19100,
PFI 6403-2RS,75400,
PH-2501,0,
PH-2502,0,
PH-2503,0,
PH-2533,0,
PH-2678,191700,
PH-2904,0,
PIL 1075,238400,
PIL 1100300760,4500000,
PLA PL-524599,63700,
PLA PL-88508-CS,47600,
PLA PL-88509C,50100,
PLB-32218,0,
PLP-3,0,
POL 10440,198700,
POL 10441,223600,
POL 10448,160900,
POL 10451,114800,
POL 10501,31800,
POL 10503,29700,
POL 10504,30300,
POL 10509,29300,
POL 10603,113100,
POL 30560,68700,
POL 30607,38900,
POL 50001,228800,
POL 60004,8900,
POL 60007,4400,
POL 60008,4200,
POL 80108,28400,
POL 80109,28500,
POL 80112,28400,
POL 90023,43200,
POR PH 2506,64200,
POR PH 2515,118000,
POR PH 3501,50200,
POR PH 3503,137300,
POR PH 3511,58400,
POR PH 3512,58400,
POR PH 3515,57500,
POR PH 4505,0,
POR PH E2622/1,0,
POR PH-4502,0,
POW 275548,38500,
POW 9024,197900,
POXI 108 /70 ML,38900,
POXI 16/14 ML.,17500,
POXI 250GR,64300,
POXI 82/70 ML.,38900,
PRA PL04101501,33500,
PRA PL04430001,13800,
PRA PL04460106,35600,
PRA PL04460206,35600,
PRA PL04480101,29500,
PRA PL04480201,29500,
PRA PL04482301,34400,
PRA PL04482401,34400,
PRA PL04540062,55900,
PRA PL04544102,32200,
PRA PL04840001,9500,
PRA PL05000105,17900,
PRA PL05000205,24800,
PRA PL05060001,9600,
PRA PL05088105,21100,
PRA PL05128141,24700,
PRA PL05140001,16100,
PRA PL05160105,30400,
PRA PL05160205,21900,
PRA PL05170005,7500,
PRA PL05262101,9100,
PRA PL05940001,7100,
PRA PL06140109,75000,
PRA PL06140209,75000,
PRA PL07000106,45900,
PRA PL07000206,45900,
PRA PL07060002,24200,
PRA PL07160109,44100,
PRA PL07160209,31700,
PRA PL07162309,60000,
PRA PL07162409,64300,
PRA PL07170009,14600,
PRA PL07172309,16300,
PRA PL07562301,18200,
PRA PL07562303,18200,
PRA PL07580007,19600,
PRA PL14460102,47800,
PRA PL14460202,66500,
PRA PL14484161,173800,
PRA PL16140109,120800,
PRA PL16140209,84900,
PRA PL16150009,49700,
PRA PL17080022,61900,
PRA PL20006309,150100,
PRA PL20006409,150100,
PRA PL20046109,185200,
PRA PL20046209,185200,
PRA PL20046369,471000,
PRA PL20046469,471000,
PRA PL20086109,161700,
PRA PL20086209,161700,
PRA PL21006109,182700,
PRA PL21006209,182700,
PRA PL21027769,520900,
PRA PL21027869,520900,
PRA PL50005000,90700,
PRI 945997,8400,
PRI AX-201,4500,
PRI CA-6000,0,
PRI EM-103,5000,
PRI EM-109,6500,
PRI EM-115,6700,
PRI EM-118,9800,
PRI FX-105,22500,
PRI MCA6000,0,
PRI TB-103,8000,
PRI TD-101,42200,
PRO 0150050,234300,
PT MBKC501/2,0,
PWT 382413,0,
QA-1780,131700,
QA-831A,13400,
QUI QA-003,23400,
QUI QA-060,288000,
QUI QA-101,227400,
QUI QA-1042,159000,
QUI QA-1044,169300,
QUI QA-1044P,0,
QUI QA-1050,120000,
QUI QA-1053,212200,
QUI QA-1054,131000,
QUI QA-1060,0,
QUI QA-1071,0,
QUI QA-1074,81900,
QUI QA-1075,40000,
QUI QA-1082,192300,
QUI QA-1085,0,
QUI QA-1085P,66200,
QUI QA-1088,137600,
QUI QA-1099,0,
QUI QA-1116G,79000,
QUI QA-1117D,0,
QUI QA-1117G,81200,
QUI QA-1117P,0,
QUI QA-116M,0,
QUI QA-1250,37800,
QUI QA-1274,0,
QUI QA-1276,200000,
QUI QA-1277,115300,
QUI QA-1280,148400,
QUI QA-1288,167200,
QUI QA-1322,201000,
QUI QA-140,33600,
QUI QA-1539C,375000,
QUI QA-1540,310300,
QUI QA-1546,658400,
QUI QA-1547 STD,549600,
QUI QA-1548 010,540100,
QUI QA-1549 020,546400,
QUI QA-1560,360800,
QUI QA-1565,283400,
QUI QA-1566,390000,
QUI QA-1566F,371100,
QUI QA-1566P,450000,
QUI QA-1568,330500,
QUI QA-1569 STD,534900,
QUI QA-1570 010,530400,
QUI QA-1571 020,536100,
QUI QA-1575,330000,
QUI QA-1576 010,606100,
QUI QA-1653,183400,
QUI QA-1678,0,
QUI QA-1702A,153000,
QUI QA-1735,158400,
QUI QA-1740,125800,
QUI QA-1750,167200,
QUI QA-1772,896700,
QUI QA-1780P,298400,
QUI QA-1800,113400,
QUI QA-1804,185100,
QUI QA-1805,215000,
QUI QA-1852,91700,
QUI QA-1940,97000,
QUI QA-1942,107700,
QUI QA-1942R,143400,
QUI QA-1944,177600,
QUI QA-1944C,199600,
QUI QA-1950,81900,
QUI QA-1952,116000,
QUI QA-1954,50000,
QUI QA-2000,0,
QUI QA-2002,89200,
QUI QA-2005,200000,
QUI QA-201,58700,
QUI QA-2010,83400,
QUI QA-201A,84300,
QUI QA-2036,126600,
QUI QA-230,50100,
QUI QA-230A,67600,
QUI QA-441,97200,
QUI QA-441G,160000,
QUI QA-452A,81400,
QUI QA-452G,153300,
QUI QA-6160,47600,
QUI QA-6164B,36700,
QUI QA-813,0,
QUI QA-815,116700,
QUI QA-841,25000,
QUI QA-846,48600,
QUI QA-880,26700,
QUI QA-881,94200,
QUI QA-883,116700,
QUI QA-885,0,
QUI QA-932,130000,
QUI QA-938,208700,
QUI QA-950,42600,
QUI QA-954,0,
QUI QA-982,121400,
QUI QA-9821 STD,200000,
QUI QA-9845,0,
QUI QA-9846,0,
QUI QA-9847,280000,
QUI QA-9851,124200,
QUI QA-9852,163600,
QUI QA-9853,164600,
R-8170,0,
RAD 19455,2425000,
RALL 1515118,244700,
RAN 2001,0,
RAN 2002,0,
RAV 0359 BR,6800,
RAV 10799 BAG,14300,
RAV 10824 BR,13600,
RAV 10897,12800,
RAV 10962,19100,
RAV 10991,106500,
RAY 100083040,59300,
RAY 100083042,75600,
RAY 100083066M,298600,
RAY 100083083,61000,
RAY 100083095,102500,
RAY 100083107,121000,
RAY 100083108,75900,
RAY 100083114,133600,
RAY 100083115,80100,
RAY 100083119,77600,
RAY 100083350,150800,
