Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
BEP M156O,7,0
BEP M171W,1,0
BEP M156M,1,0
BEP M156P,2,0
BEP M156Q,0,-11
RYG 296212,0,-5
RYG 296211,2,0
FCS-SCFO-028 RH,0,-1
FCS-SCFO-028 LH,1,0
CIP 800691,0,-2
MB-482,0,-1
CIP 1484809,0,-5
RYG 581025,0,-1
SAB 46846 F,0,-20
BEP B055 D,1,0
INC 01.01.0900,0,-1
WAB 912.510.005.1,0,-1
CIN 14.33.0288L,0,-1
DAY 10A1000C-DU,1,0
DAY 13A0735C-U,1,0
DAY 13A0775C-DU,3,0
DAY 13A0900C-U,5,0
DAY 13A1065C-U,53,0
DAY 13A1195C-DU,0,-5
DAY 13A1335C-U,0,-1
DAY 13A1420C-U,3,0
DAY 13A1775C-U,1,0
DAY 6PK0900-U,1,0
DAY 6PK1065-U,2,0
DAY 6PK1195-U,2,0
DAY 6PK1375-U,0,-1
DAY 8PK0950-U,0,-2
DAY 8PK1420-U,0,-5
DAY 10A0850C-DU,1,0
DAY 10A0925C-DU,8,0
DAY 10A0950C-DU,0,-6
DAY 10A1075C-U,1,0
DAY 10A1300C-U,0,-3
DAY 13A0675C-U,1,0
DAY 13A0780C-U,0,-2
DAY 13A0800C-U,1,0
DAY 13A0890C-U,1,0
DAY 13A0895C-DU,0,-30
DAY 13A0925C,16,0
DAY 13A0940C-U,1,0
DAY 13A0950C-DU,0,-123
DAY 13A1020C/2-U,6,0
DAY 13A1200C-U,0,-3
DAY 13A1220C-U,10,0
DAY 13A1270C,5,0
DAY 13A1325C,31,0
DAY 13A1350C,0,-29
DAY 13A1375C,9,0
DAY 13A1425C-U,1,0
DAY 13A1450C,0,-53
DAY 13A1575C,0,-16
DAY 13A1625C-U,17,0
DAY 13A1700C-U,0,-1
DAY 13A1900C-U,0,-1
DAY 13A1475C,86,0
DAY 4PK0960-U,0,-1
DAY 5PK1125-U,0,-3
DAY 3PK0780-U,0,-1
DAY 3PK0850,0,-1
DAY 4PK0665-U,0,-1
DAY 4PK0750-U,3,0
DAY 5PK1170-U,2,0
DAY 6PK1795-U,64,0
DAY 8PK1220-U,0,-48
DAY 8PK1443-U,1,0
DAY 089RP254H-U,0,-1
DAY 141RHX300H-U,0,-8
DAY 136RHX254H-U,5,0
DAY 111RP170H,0,-2
DAY 163RHX254,0,-12
DAY 135RHX254-U,1,0
DAY 3PK0715,1,0
DAY 8PK1550-U,0,-1
DAY 4PK0815,0,-2
DAY 3PK760,0,-5
NAK NUJ-12213,0,-17
NAK NUJ-153,0,-4
NAK NUJL-90,0,-1
NAK NUJ-12062,6,0
KAC K07.03555,1,0
MEC JT-1874,0,-2
AMA 630 D,0,-1
AMA 300 D,0,-1
TBP S80.8165,0,-2
TBP S80.8080,0,-2
FCS-SC018 RH,1,0
FCS-SCFO-062 LH,4,0
FCS-SC018 LH,0,-1
FCS-SC010 RH,0,-4
BEP B050Z FUME,6,0
BEP B050B,4,0
BEP B050G ROJO,0,-1
REI R-035,0,-20
SAC 5739,1,0
