Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,APLICACION,MODELO,GRUPO,LINEA,PESO,VOLUMEN
UNI 8.802,TAPA ARRANQUE TRASERA SC 112/3,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAU 6305,RULEMAN 6305 GAUSS 2RS SELLADO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
VIC 12.34914.01,RETEN VALVULA MOTOR OM 904/906,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-087,MANGUERA DEPURADOR ACORDEON MB,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
NARV 17327,FOCO TUBULAR 6429 24V10W NARVA,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC 30860T,SOPORTE ROTOR DEL.REGLA TACOAR,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
P-707.6,FILTRO DE COMB.CARTON 1113 MAN,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC-551452,JGO.JUNTA MULTIPLE ESCAPE P93/4,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FLUI-11630,REPARO BOMBA CENTRAL FRENO 1513,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-092,NIPLE COMPRESOR M/V CHICO 22X22,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
NARV 17314,FOCO TUBULAR 6411 12V 10W NARVA,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FRA 231 X,FIBRA SV 231 X  SC TRAS 10 PULG,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FRA 231 XX,"FIBRA SV 231 XX 10"" TRAS. SC113",REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT 9364,CORREA 13X925 GATES DIR HID 366,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
AM-01,PORTA FOCO PICUDO GRANDE BLANCO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAH 48250 STD,PISTON MOTOR STD 352  M/V MAHLE,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC 288805,ESPACIADOR PUNTA EJE SC 112 50mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CR-014,MANGUERA INTERCOOLER 709/711/912,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-108,TAPON VASO FILTRO DE ACEITE 18mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
BOS 144123,REGULADOR VOLTAGE 24V OM 904/906,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
QUI QA-1566P,TAPA COMPRESOR SUPERIOR LISO 88mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
COR 59801K,REPARO BOMBA DIR.HIDR M/N PARCIAL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CINA 1103.36.71,POLEA ALTERN. DOBLE METAL 55AMPER,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
RG 1003 22M,CONEXION P/ SUSPENSION 1/4 X 12MM,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN-4033,MANGUERA FORRADA COMBUSTIBLE 12mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FAIR 950321,SUSPENSION NEUMATICA TRAS PARCIAL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FIR 1T19F-14-0366,SUSPENSION NEUMAT.COMPLETO SC-124,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
HU-951 X,FILTRO DE ACEITE  MB C-250 DIESEL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC-30920,TAPA MASA TRASERA RODOAR 1313/1623,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CR-013,CONEXION VAINA VARILLA MEDIDOR M/N,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC-538770,RESERVORIO BOMBA DE EMBRAGUE SC112,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
ET-20203,PERNO EJE CAJA REDUCTORA GR/GRS900,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
ET-20208,CONO ACOPLE REDUCTORA SC 124 ENGRE,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SIN-1067 VM,FARO TRASERO CARRETA CUADRADO ROJO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-1003,MOTOR LIMPIA PARABRISA M/N 12 V MB,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-057,CA�O INYECTOR N�2 MB1635/1935/2635,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-058,CA�O INYECTOR N�4 MB1635/1935/2635,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-059,CA�O INYECTOR N�5 MB1635/1935/2635,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN C20457,FILTRO DE AIRE 904/906 ELECTRONICO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GR-6004,RULEMAN 6004 GAUS SUSPENSION CABINA,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC 63087,ENCHUFE ELECTRICO P/RELAY 4 ENTRADA,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CAI 5785271710,FARO SE�ALERO TRASERO CAIO L/D GRIS,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CAI 5785271702,FARO SE�ALERO TRASERO CAIO L/E GRIS,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-060,CA�O INYECTOR N�6  MB1635/1935/2635,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
BOS 133286,PLAQUETA RECT ALTERN.24V OM 904/906,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
TWM 02002,PLAQUETA BOMBA DE DIR.HIDR ALTO TWM,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FRA FD77 XXX,FIBRA FD 77 FRASLE XXX PICUDITO 6AG,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
COR 8PK1380,CORREA 8PK-1380 BTS 914 ELECTRONICO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
ZM 4002216,PRISIONERO RUEDA TRAS M/N 22X100 ZM,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN H947.1,FILTRO DE ACEITE 1218/1418/ M/N MAN,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN CF1550,FILTRO DE AIRE 1721 INTERNO CF 1550,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
DIE-06,PISTON COMPRESOR M/N STD KNNOR 75mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
QUI QA-9845,PISTON COMPRESOR M/N STD KNNOR 75mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
QUI QA-9846,PISTON COMPRESOR M/N STD KNNOR 75mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CR-17,PEDAL ACELERADOR PLASTICO C/BOLA M/N,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
PH-2533,TERMINAL DIREC.608 CORTO PORPORA IZQ,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
PH-2501,TERMINAL DIREC.608 CORTO PORPORA DER,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
KLA 86282,FOCO 24V 21/5W 2 FIL TRAVADA KLAXCAR,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
IM-20603,MOTOR L/PARABRISA 24VOLT PICO GRUESO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FIR 1T15LR-4/0483,SUSPENSION NEUMAT.COMP 3ER EJE SC124,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GER 00.132.005,ENGRANAJE 4� M/V ARRIBA MAET GERMANY,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN C301240,FILTRO DE AIRE RADIAL SC 114/124 MAN,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC-1433899,TIRADOR CINTA TANQUE SC124 PERNO SOLO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC-1347401,POLEA ALTERNADOR SC124 ESTRIADO METAL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
KLA-86239,FOCO H-4 24V 10/90 B/ESTRELLA KLAXCAR,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CAI 5785271737,FARO SE�ALERO TRASERO CAIO L/D BLANCO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN W11102.36,FILTRO DE ACEITE VOLVO NL10 SC124/114,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
WK 817.3X,FILTRO DE COMBUSTIBLE MB C-250 DIESEL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC 5066,PICAPORTE DE PUERTA SC124 L/D COMPLETO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CM 060304,CONEXION P/ SUSPENSION 16MMX 8MM SC124,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FOR 1066D,FARO AUXILIAR INTERIOR S-5 L/D FORTLUZ,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GER 00.132.004,ENGRANAJE 5� M/V SENCILLO MAET GERMANY,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
ZM 4001412,PRISIONERO RUEDA TRAS 608/708 14X75 ZM,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
WAB 925.903.624.6,TAPA CIL.TRISTOP INTERMEDIO 14X24 WABCO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC-1481301,TAPA TANQUE SC124 ROSCA PROTECTOR METAL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC-1421790,SOPORTE CABINA TRAS 94/114/24 L/I METAL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FIR 1T15LR-4/0416,SUSPENSION NEUMAT.PARCIAL 3ER EJE SC124,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
LON L-639 STD,"FIBRA LONAFLEX L-639 STD 14AG 8"" CONICO",REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FRA SV-229 XX,"FIBRA FRASLE SV229 XX DEL.SC113 16AG 7""",REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN C60345,FILTRO DE AIRE 709/711/912 ALEMAN PANAL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
