Empresa,Yhaguy Repuestos
,,,,,
CODIGO,CANTIDAD,FECHA,PROVEEDOR,COSTODS,COSTOGS
SAB 46821 F1,20,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.22,7.280
SAB 48861 F,400,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.19,1.192
SAB 80269,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,6.19,38.273
SAB 75652,100,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.62,3.699
SAB 75653,120,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.6,3.580
SAB 76904,3,11/10/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,14.76,90.681
SAB 75655,60,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1,5.967
SAB 75651,150,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.99,4.777
SAB 75960,10,30/12/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.38,6.949
SAB 75923,0,,,,5.062
SAB 82310,15,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.09,20.868
SAB 48627 F,10,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.32,8.282
SAB 48527 EF,0,,,,5.997
SAB 48801 F,10,6/10/2011,SANTA ELENA S.A.,,21.903
SAB 48802 FPSD4,100,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.54,34.768
SAB 48902 FPSD,18,8/3/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.46,14.769
SAB 48903 FPSD,50,25/11/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.35,11.038
SAB 48901 FPSD,30,26/5/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,4.92,22.601
SAB 82175,150,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.29,31.565
SAB 80226,80,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,7.01,41.827
SAB 48301 FPSD4,80,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.95,23.569
SAB 82904,50,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,12.46,78.198
SAB 82924,10,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,19.47,122.194
SAB 10801 FPSG,10,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.8,11.238
SAB 82232,100,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.18,13.008
SAB 82233,30,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.41,14.380
SAB 82234,100,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.1,12.530
SAB 82241,40,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.14,6.684
SAB 51001 FPSG2,40,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.8,13.506
SAB 51201 FLEX,50,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.42,14.440
